ccg_code,year,month,registered_patients,diabetes_patients,total_spend,per_capita_spend
02A,2013,3,181553,10048,189950.67,18.90432623
10D,2013,3,83012,5459,103047.74,18.87666972
06W,2013,3,167174,7296,137425.45,18.83572505
10N,2013,3,84359,3567,67169.58,18.83083263
01J,2013,3,126163,8044,151271,18.80544505
10M,2013,3,89777,3572,67163.91,18.80288634
08W,2013,3,221026,12986,244074.75,18.79522178
07X,2013,3,211081,13198,248008.71,18.79138582
07M,2013,3,288647,16334,306849.53,18.78593915
00J,2013,3,198135,11861,222356.27,18.74684006
09A,2013,3,165985,5820,109081.22,18.74247766
07H,2013,3,229117,12391,231982.49,18.72185376
00R,2013,3,139228,9034,168889.82,18.69491034
08R,2013,3,168414,8517,158973.52,18.66543619
08V,2013,3,209768,12269,228892.96,18.65620344
08X,2013,3,299669,11673,217735.49,18.65291613
03F,2013,3,226105,12574,234114.43,18.61893033
12F,2013,3,267463,16018,298163.41,18.61427207
10J,2013,3,168882,8878,164807.1,18.56353909
03R,2013,3,283387,16918,313885.29,18.55333314
02V,2013,3,161520,8139,150997.18,18.55230127
11D,2013,3,122029,4965,91962.66,18.52218731
00N,2013,3,125301,8055,148656.01,18.45512228
11M,2013,3,496709,28502,524834.91,18.41396779
00G,2013,3,125410,5168,95089.28,18.39962848
01K,2013,3,131046,7155,131331.24,18.35516981
10T,2013,3,103562,7765,142472.81,18.34807598
07Q,2013,3,253757,12722,233289.06,18.33745166
00D,2013,3,232628,15116,277177.75,18.33671275
02M,2013,3,126659,7684,140862.75,18.33195601
99C,2013,3,175585,10420,190715.74,18.30285413
01H,2013,3,411612,21957,401873.96,18.30277178
10R,2013,3,171378,8414,153936.79,18.29531614
08L,2013,3,231350,12411,226857.67,18.27875836
11H,2013,3,376986,16988,310318.87,18.26694549
06K,2013,3,444661,22263,406096.73,18.24088083
11E,2013,3,159904,6968,127024.28,18.22966131
05G,2013,3,162423,10565,192095.18,18.18222243
03E,2013,3,130748,5802,105082.18,18.11137194
03A,2013,3,185941,9791,176329.4,18.0093351
11T,2013,3,170640,8910,160386.07,18.00068126
03Q,2013,3,277850,13002,233810.88,17.98268574
06F,2013,3,338882,18990,339873.24,17.89748499
05F,2013,3,149031,8594,153788.53,17.894872
01F,2013,3,101262,6894,123207.48,17.87169713
02N,2013,3,124811,7088,126328.78,17.82290914
11X,2013,3,438437,24405,433929.42,17.78034911
02R,2013,3,251063,16471,292146.1,17.73699836
02H,2013,3,257240,16023,283697.5,17.70564189
06H,2013,3,675672,34771,615330.71,17.69666417
08J,2013,3,149041,6666,117537.07,17.63232373
99K,2013,3,132882,6554,115493.09,17.62177144
05Y,2013,3,204402,15762,277646.96,17.61495749
00T,2013,3,229563,15613,274400.06,17.57510152
00X,2013,3,139469,8394,147397.43,17.55985585
08P,2013,3,155429,5114,89763.99,17.55259875
02Y,2013,3,247261,14872,260790.58,17.53567644
06M,2013,3,189366,11777,205881.1,17.4816252
03N,2013,3,448552,25323,439616.74,17.36037357
02G,2013,3,90171,5223,90621.97,17.35055907
99Q,2013,3,234969,13203,228573.27,17.31222222
05W,2013,3,215439,14890,257234.8,17.27567495
00V,2013,3,154052,8335,143557.06,17.22340252
01C,2013,3,164531,8938,153857.48,17.21385992
09F,2013,3,152396,8483,145782.63,17.18526818
07V,2013,3,301680,17273,296324.7,17.15536965
01V,2013,3,101234,5915,101283.93,17.12323415
06V,2013,3,139856,8236,140905.89,17.10853448
11N,2013,3,453574,24704,421645.91,17.06792058
03Y,2013,3,83276,5924,100938.5,17.03890952
02F,2013,3,206635,11097,187587.32,16.9043273
00H,2013,3,103460,6240,105481.29,16.90405288
01E,2013,3,167553,9236,155782.81,16.86691317
02E,2013,3,153629,9234,155183.64,16.80567901
08Q,2013,3,259187,11571,194354.33,16.79667531
99P,2013,3,722197,37713,632607.82,16.77426405
08D,2013,3,216825,11316,188983.07,16.70051873
07W,2013,3,299269,19285,320120.11,16.59943531
01X,2013,3,155786,10213,169510.51,16.59752374
04J,2013,3,229141,13693,226903.07,16.57073468
06L,2013,3,310118,15868,262505.82,16.54309428
06N,2013,3,466617,21206,349853.85,16.49787089
08K,2013,3,306348,12883,211668.28,16.4300458
01G,2013,3,189822,10151,166428.83,16.39531376
04N,2013,3,98578,4373,71594.41,16.37192088
04M,2013,3,76516,4178,68395.18,16.37031594
04K,2013,3,270997,13297,216617.12,16.29067609
07P,2013,3,276239,19022,309422.95,16.26658343
04L,2013,3,115117,6674,107171.68,16.0580881
00C,2013,3,84625,5293,84577.16,15.97905913
07R,2013,3,203003,7334,116920.52,15.94225798
00F,2013,3,168292,9968,154815.41,15.53124097
08H,2013,3,175636,8352,125157.29,14.98530771
04R,2013,3,413961,25607,383083.68,14.96011559
00L,2013,3,264148,16865,252016.35,14.94315743
03X,2013,3,79014,4601,68380.65,14.8621278
08E,2013,3,187967,13719,203356.66,14.82299439
